Sample code,Treatment,Araneae,Coleoptera,ColeopteraLarv,Collembola,Diptera,DipteraLarv,Gamasida,Gastropoda,Oribatida,TotalAbundance,SpeciesRichness
C-11A-Div,Control,0,2,4,14,1,1,17,0,0,39,6
C-13B-Div,Control,0,1,1,240,0,16,4,0,0,262,5
C-14A-Div,Control,1,0,0,230,0,1,7,0,0,239,4
C-15c-Div,Control,0,2,0,195,4,1,6,0,0,208,5
C-1A-Div,Control,0,0,0,0,0,0,0,0,0,0,0
C-1c-Div,Control,0,2,0,15,1,12,4,0,6,40,6
C-2B-Div,Control,0,0,0,0,0,0,0,0,0,0,0
C-3c-Div,Control,1,1,1,6,0,6,9,0,1,25,7
C-4A-Div,Control,1,0,1,141,3,5,42,0,1,194,7
C-4c-Div,Control,0,3,3,26,1,1,17,2,4,57,8
C-5B-Div,Control,1,5,5,408,2,11,23,1,6,462,9
C-6B-Div,Control,0,2,1,21,0,11,9,1,1,46,7
C-6c-Div,Control,0,4,1,56,0,3,20,0,2,86,6
C-7A-Div,Control,0,0,0,0,0,0,0,0,0,0,0
C-8c-Div,Control,0,1,2,47,0,10,16,0,5,81,6
C-9B-Div,Control,0,0,0,146,0,13,24,0,2,185,4
I-10A-Div,Ivermectin,0,1,0,7,0,13,5,0,1,27,5
I-10c-Div,Ivermectin,1,0,0,42,0,4,8,2,3,60,6
I-11B-Div,Ivermectin,0,0,3,31,0,41,7,0,0,82,4
I-12A-Div,Ivermectin,0,0,0,6,0,48,6,0,1,61,4
I-12c-Div,Ivermectin,1,2,0,24,0,2,2,2,1,35,8
I-13A-Div,Ivermectin,0,1,4,28,0,20,9,0,0,62,5
I-14c-Div,Ivermectin,0,1,0,6,0,0,6,1,2,16,5
I-15A-Div,Ivermectin,0,1,1,10,0,21,16,0,2,51,6
I-16c-Div,Ivermectin,1,0,3,8,0,9,3,0,0,24,5
I-3A-Div,Ivermectin,0,1,0,2,0,36,5,1,0,45,5
I-4B-Div,Ivermectin,0,1,1,4,1,69,9,1,2,88,8
I-5c-Div,Ivermectin,0,2,0,5,0,15,8,0,10,40,5
I-6A-Div,Ivermectin,0,1,0,2,0,86,12,0,0,101,4
I-7c-Div,Ivermectin,1,2,1,16,0,2,12,1,1,36,8
I-8B-Div,Ivermectin,0,1,1,10,0,6,4,0,1,23,6
I-9A-Div,Ivermectin,0,0,0,11,1,12,9,0,0,33,4
P-10B-Div,Pyrantel,2,3,0,9,0,6,17,0,0,37,5
P-11c-Div,Pyrantel,0,4,0,22,0,0,13,0,4,43,4
P-12B-Div,Pyrantel,0,1,0,25,0,4,11,0,0,41,4
P-13c-Div,Pyrantel,0,0,1,61,0,5,7,1,2,77,6
P-14B-Div,Pyrantel,0,1,5,256,0,8,14,0,2,286,6
P-15B-Div,Pyrantel,0,0,1,96,0,5,5,0,0,107,4
P-16A-Div,Pyrantel,0,0,0,0,0,0,0,0,0,0,0
P-16B-Div,Pyrantel,0,2,3,153,9,15,22,0,1,205,7
P-1B-Div,Pyrantel,0,0,0,0,0,0,0,0,0,0,0
P-2A-Div,Pyrantel,0,0,0,0,0,0,0,0,0,0,0
P-2c-Div,Pyrantel,0,2,0,51,2,7,10,1,4,77,7
P-3B-Div,Pyrantel,0,0,0,0,0,0,0,0,0,0,0
P-5A-Div,Pyrantel,0,0,1,10,0,3,32,1,3,50,6
P-7B-Div,Pyrantel,0,0,3,5,0,5,6,0,1,20,5
P-8A-Div,Pyrantel,0,0,0,0,0,0,0,0,0,0,0
P-9c-Div,Pyrantel,0,2,0,56,1,13,4,1,2,79,7
