Date/Time,Unit,Value
07.11.23 15:54:00,C,8
07.11.23 16:54:00,C,7
07.11.23 17:54:00,C,7
07.11.23 18:54:00,C,7
07.11.23 19:54:00,C,7
07.11.23 20:54:00,C,6
07.11.23 21:54:00,C,6
07.11.23 22:54:00,C,6
07.11.23 23:54:00,C,6
08.11.23 00:54:00,C,6
08.11.23 01:54:00,C,6
08.11.23 02:54:00,C,6
08.11.23 03:54:00,C,7
08.11.23 04:54:00,C,7
08.11.23 05:54:00,C,7
08.11.23 06:54:00,C,7
08.11.23 07:54:00,C,7
08.11.23 08:54:00,C,7
08.11.23 09:54:00,C,8
08.11.23 10:54:00,C,8
08.11.23 11:54:00,C,9
08.11.23 12:54:00,C,9
08.11.23 13:54:00,C,10
08.11.23 14:54:00,C,9
08.11.23 15:54:00,C,9
08.11.23 16:54:00,C,8
08.11.23 17:54:00,C,7
08.11.23 18:54:00,C,6
08.11.23 19:54:00,C,6
08.11.23 20:54:00,C,5
08.11.23 21:54:00,C,5
08.11.23 22:54:00,C,4
08.11.23 23:54:00,C,4
09.11.23 00:54:00,C,4
09.11.23 01:54:00,C,4
09.11.23 02:54:00,C,4
09.11.23 03:54:00,C,4
09.11.23 04:54:00,C,4
09.11.23 05:54:00,C,4
09.11.23 06:54:00,C,4
09.11.23 07:54:00,C,5
09.11.23 08:54:00,C,6
09.11.23 09:54:00,C,6
09.11.23 10:54:00,C,7
09.11.23 11:54:00,C,7
09.11.23 12:54:00,C,8
09.11.23 13:54:00,C,8
09.11.23 14:54:00,C,8
09.11.23 15:54:00,C,8
09.11.23 16:54:00,C,8
09.11.23 17:54:00,C,7
09.11.23 18:54:00,C,6
09.11.23 19:54:00,C,6
09.11.23 20:54:00,C,7
09.11.23 21:54:00,C,7
09.11.23 22:54:00,C,7
09.11.23 23:54:00,C,7
10.11.23 00:54:00,C,7
10.11.23 01:54:00,C,7
10.11.23 02:54:00,C,7
10.11.23 03:54:00,C,7
10.11.23 04:54:00,C,7
10.11.23 05:54:00,C,7
10.11.23 06:54:00,C,7
10.11.23 07:54:00,C,7
10.11.23 08:54:00,C,7
10.11.23 09:54:00,C,8
10.11.23 10:54:00,C,9
10.11.23 11:54:00,C,9
10.11.23 12:54:00,C,9
10.11.23 13:54:00,C,9
10.11.23 14:54:00,C,8
10.11.23 15:54:00,C,8
10.11.23 16:54:00,C,7
10.11.23 17:54:00,C,7
10.11.23 18:54:00,C,7
10.11.23 19:54:00,C,7
10.11.23 20:54:00,C,7
10.11.23 21:54:00,C,7
10.11.23 22:54:00,C,7
10.11.23 23:54:00,C,7
11.11.23 00:54:00,C,7
11.11.23 01:54:00,C,6
11.11.23 02:54:00,C,6
11.11.23 03:54:00,C,6
11.11.23 04:54:00,C,6
11.11.23 05:54:00,C,6
11.11.23 06:54:00,C,6
11.11.23 07:54:00,C,6
11.11.23 08:54:00,C,7
11.11.23 09:54:00,C,7
11.11.23 10:54:00,C,7
11.11.23 11:54:00,C,8
11.11.23 12:54:00,C,8
11.11.23 13:54:00,C,7
11.11.23 14:54:00,C,7
11.11.23 15:54:00,C,7
11.11.23 16:54:00,C,6
11.11.23 17:54:00,C,5
11.11.23 18:54:00,C,5
11.11.23 19:54:00,C,5
11.11.23 20:54:00,C,5
11.11.23 21:54:00,C,5
11.11.23 22:54:00,C,5
11.11.23 23:54:00,C,5
12.11.23 00:54:00,C,5
12.11.23 01:54:00,C,5
12.11.23 02:54:00,C,5
12.11.23 03:54:00,C,5
12.11.23 04:54:00,C,5
12.11.23 05:54:00,C,4
12.11.23 06:54:00,C,4
12.11.23 07:54:00,C,5
12.11.23 08:54:00,C,5
12.11.23 09:54:00,C,6
12.11.23 10:54:00,C,7
12.11.23 11:54:00,C,7
12.11.23 12:54:00,C,8
12.11.23 13:54:00,C,8
12.11.23 14:54:00,C,8
12.11.23 15:54:00,C,7
12.11.23 16:54:00,C,7
12.11.23 17:54:00,C,6
12.11.23 18:54:00,C,6
12.11.23 19:54:00,C,6
12.11.23 20:54:00,C,6
12.11.23 21:54:00,C,6
12.11.23 22:54:00,C,6
12.11.23 23:54:00,C,6
13.11.23 00:54:00,C,6
13.11.23 01:54:00,C,6
13.11.23 02:54:00,C,6
13.11.23 03:54:00,C,6
13.11.23 04:54:00,C,7
13.11.23 05:54:00,C,7
13.11.23 06:54:00,C,8
13.11.23 07:54:00,C,8
13.11.23 08:54:00,C,8
13.11.23 09:54:00,C,8
13.11.23 10:54:00,C,9
13.11.23 11:54:00,C,9
13.11.23 12:54:00,C,10
13.11.23 13:54:00,C,11
13.11.23 14:54:00,C,11
13.11.23 15:54:00,C,11
13.11.23 16:54:00,C,11
13.11.23 17:54:00,C,11
13.11.23 18:54:00,C,11
13.11.23 19:54:00,C,12
13.11.23 20:54:00,C,11
13.11.23 21:54:00,C,10
13.11.23 22:54:00,C,10
13.11.23 23:54:00,C,9
14.11.23 00:54:00,C,9
14.11.23 01:54:00,C,8
14.11.23 02:54:00,C,8
14.11.23 03:54:00,C,8
14.11.23 04:54:00,C,8
14.11.23 05:54:00,C,8
14.11.23 06:54:00,C,9
14.11.23 07:54:00,C,9
14.11.23 08:54:00,C,9
14.11.23 09:54:00,C,9
14.11.23 10:54:00,C,10
14.11.23 11:54:00,C,10
14.11.23 12:54:00,C,10
14.11.23 13:54:00,C,11
14.11.23 14:54:00,C,10
14.11.23 15:54:00,C,10
14.11.23 16:54:00,C,10
14.11.23 17:54:00,C,9
14.11.23 18:54:00,C,9
14.11.23 19:54:00,C,9
14.11.23 20:54:00,C,9
14.11.23 21:54:00,C,9
14.11.23 22:54:00,C,9
14.11.23 23:54:00,C,9
15.11.23 00:54:00,C,9
15.11.23 01:54:00,C,8
15.11.23 02:54:00,C,8
15.11.23 03:54:00,C,8
15.11.23 04:54:00,C,9
15.11.23 05:54:00,C,9
15.11.23 06:54:00,C,8
15.11.23 07:54:00,C,9
15.11.23 08:54:00,C,9
15.11.23 09:54:00,C,9
15.11.23 10:54:00,C,10
15.11.23 11:54:00,C,10
15.11.23 12:54:00,C,11
15.11.23 13:54:00,C,11
15.11.23 14:54:00,C,10
15.11.23 15:54:00,C,10
15.11.23 16:54:00,C,9
15.11.23 17:54:00,C,9
15.11.23 18:54:00,C,8
15.11.23 19:54:00,C,8
15.11.23 20:54:00,C,8
15.11.23 21:54:00,C,8
15.11.23 22:54:00,C,8
15.11.23 23:54:00,C,8
16.11.23 00:54:00,C,8
16.11.23 01:54:00,C,8
16.11.23 02:54:00,C,8
16.11.23 03:54:00,C,7
16.11.23 04:54:00,C,7
16.11.23 05:54:00,C,8
16.11.23 06:54:00,C,8
16.11.23 07:54:00,C,7
16.11.23 08:54:00,C,7
16.11.23 09:54:00,C,8
16.11.23 10:54:00,C,9
16.11.23 11:54:00,C,9
16.11.23 12:54:00,C,9
16.11.23 13:54:00,C,8
16.11.23 14:54:00,C,8
16.11.23 15:54:00,C,8
16.11.23 16:54:00,C,8
16.11.23 17:54:00,C,8
16.11.23 18:54:00,C,7
16.11.23 19:54:00,C,7
16.11.23 20:54:00,C,7
16.11.23 21:54:00,C,7
16.11.23 22:54:00,C,7
16.11.23 23:54:00,C,7
17.11.23 00:54:00,C,7
17.11.23 01:54:00,C,7
17.11.23 02:54:00,C,7
17.11.23 03:54:00,C,6
17.11.23 04:54:00,C,6
17.11.23 05:54:00,C,6
17.11.23 06:54:00,C,6
17.11.23 07:54:00,C,6
17.11.23 08:54:00,C,7
17.11.23 09:54:00,C,7
17.11.23 10:54:00,C,8
17.11.23 11:54:00,C,9
17.11.23 12:54:00,C,8
17.11.23 13:54:00,C,8
17.11.23 14:54:00,C,8
17.11.23 15:54:00,C,8
17.11.23 16:54:00,C,7
17.11.23 17:54:00,C,7
17.11.23 18:54:00,C,6
17.11.23 19:54:00,C,6
17.11.23 20:54:00,C,6
17.11.23 21:54:00,C,6
17.11.23 22:54:00,C,6
17.11.23 23:54:00,C,6
18.11.23 00:54:00,C,6
18.11.23 01:54:00,C,6
18.11.23 02:54:00,C,6
18.11.23 03:54:00,C,6
18.11.23 04:54:00,C,6
18.11.23 05:54:00,C,6
18.11.23 06:54:00,C,6
18.11.23 07:54:00,C,6
18.11.23 08:54:00,C,6
18.11.23 09:54:00,C,7
18.11.23 10:54:00,C,8
18.11.23 11:54:00,C,8
18.11.23 12:54:00,C,8
18.11.23 13:54:00,C,8
18.11.23 14:54:00,C,8
18.11.23 15:54:00,C,8
18.11.23 16:54:00,C,7
18.11.23 17:54:00,C,7
18.11.23 18:54:00,C,7
18.11.23 19:54:00,C,7
18.11.23 20:54:00,C,7
18.11.23 21:54:00,C,7
18.11.23 22:54:00,C,7
18.11.23 23:54:00,C,8
19.11.23 00:54:00,C,8
19.11.23 01:54:00,C,8
19.11.23 02:54:00,C,8
19.11.23 03:54:00,C,8
19.11.23 04:54:00,C,8
19.11.23 05:54:00,C,9
19.11.23 06:54:00,C,9
19.11.23 07:54:00,C,9
19.11.23 08:54:00,C,10
19.11.23 09:54:00,C,10
19.11.23 10:54:00,C,11
19.11.23 11:54:00,C,12
19.11.23 12:54:00,C,11
19.11.23 13:54:00,C,12
19.11.23 14:54:00,C,11
19.11.23 15:54:00,C,10
19.11.23 16:54:00,C,9
19.11.23 17:54:00,C,9
19.11.23 18:54:00,C,8
19.11.23 19:54:00,C,8
19.11.23 20:54:00,C,8
19.11.23 21:54:00,C,8
19.11.23 22:54:00,C,8
19.11.23 23:54:00,C,9
20.11.23 00:54:00,C,9
20.11.23 01:54:00,C,9
20.11.23 02:54:00,C,9
20.11.23 03:54:00,C,9
20.11.23 04:54:00,C,9
20.11.23 05:54:00,C,9
20.11.23 06:54:00,C,9
20.11.23 07:54:00,C,9
20.11.23 08:54:00,C,9
20.11.23 09:54:00,C,9
20.11.23 10:54:00,C,9
20.11.23 11:54:00,C,10
20.11.23 12:54:00,C,10
20.11.23 13:54:00,C,10
20.11.23 14:54:00,C,10
20.11.23 15:54:00,C,9
20.11.23 16:54:00,C,9
20.11.23 17:54:00,C,9
20.11.23 18:54:00,C,8
20.11.23 19:54:00,C,8
20.11.23 20:54:00,C,8
20.11.23 21:54:00,C,8
20.11.23 22:54:00,C,8
20.11.23 23:54:00,C,8
21.11.23 00:54:00,C,8
21.11.23 01:54:00,C,8
21.11.23 02:54:00,C,8
21.11.23 03:54:00,C,8
21.11.23 04:54:00,C,8
21.11.23 05:54:00,C,8
21.11.23 06:54:00,C,8
21.11.23 07:54:00,C,8
21.11.23 08:54:00,C,8
21.11.23 09:54:00,C,9
