Treatment,Species,Mean abundance,SD
Control,Collembola,118.8461538,122.3000723
Control,Gamasida,15.23076923,10.67047208
Control,Oribatida,2.153846154,2.303842943
Control,Diptera,0.8461538462,1.344504484
Control,DipteraLarv,7.076923077,5.298766184
Control,Coleoptera,1.769230769,1.535895296
Control,ColeopteraLarv,1.461538462,1.613246448
Control,Gastropoda,0.3076923077,0.630425172
Control,Araneae,0.3076923077,0.4803844614
Pyrantel,Collembola,57.23076923,74.36078026
Pyrantel,Gamasida,10.84615385,9.035542355
Pyrantel,Oribatida,1.461538462,1.506396618
Pyrantel,Diptera,0.1538461538,0.5547001962
Pyrantel,DipteraLarv,6.230769231,6.559393343
Pyrantel,Coleoptera,1.153846154,1.344504484
Pyrantel,ColeopteraLarv,1.076923077,1.60527975
Pyrantel,Gastropoda,0.3076923077,0.4803844614
Pyrantel,Araneae,0.1538461538,0.5547001962
Ivermectin,Collembola,13.25,11.79547936
Ivermectin,Gamasida,7.5625,3.650913128
Ivermectin,Oribatida,1.5,2.449489743
Ivermectin,Diptera,0.125,0.3415650255
Ivermectin,DipteraLarv,24,25.48463589
Ivermectin,Coleoptera,0.875,0.7187952884
Ivermectin,ColeopteraLarv,0.875,1.310216267
Ivermectin,Gastropoda,0.5,0.7302967433
Ivermectin,Araneae,0.25,0.5773502692
